n27,n28,f2r6,2.770693509,"126.6338218, 37.3745775, 126.6338451, 37.3745627",0
n26,n27,f2r5,1.693262633,"126.6338074, 37.3745858, 126.6338218, 37.3745775",0
n25,n26,f2r4,3.112215291,"126.6337812, 37.3746023, 126.6338074, 37.3745858",0
n24,n25,f2r3,3.948346886,"126.6337478, 37.3746225, 126.6337812, 37.3746023",0
n23,n24,f2r2,5.498467965,"126.6337015, 37.3746516, 126.6337478, 37.3746225",0
n22,n23,f2r1,2.408055188,"126.633681, 37.3746633, 126.6337015, 37.3746516",0
n30,n32,f2r10,6.15280071,"126.6339719, 37.3744872, 126.6339199, 37.3745189",0
n32,n33,f2r11,2.032729186,"126.6339719, 37.3744872, 126.6339892, 37.3744773",0
n33,n34,f2r12,7.54329047,"126.6339899, 37.3744768, 126.6340539, 37.3744391",0
n33,216-통신망및보안연구실,216,1.352852415,"126.6339896, 37.3744776, 126.6340001, 37.3744879","126.6339988,37.374489"
n34,217-정보보안연구실,217,1.397985476,"126.6340546, 37.3744388, 126.6340655, 37.3744493","126.6340658,37.3744496"
n37,220-교수연구실(정보통신-강현철),220,1.834548183,"126.6339166, 37.3744029, 126.633901, 37.3744119","126.6339177,37.3744028"
n44,227-교수연구실(임베디드시스템-전광길),227,1.880923507,"126.6337209, 37.3742198, 126.6337369, 37.3742106","126.6337381,37.374209"
n36,219-교수연구실(정보통신-이은규),219,1.845613457,"126.6339288, 37.3744415, 126.6339444, 37.374432","126.633945,37.374432"
n35,218-교수연구실(정보통신-김영필),218,2.121481367,"126.6339526, 37.3744671, 126.6339706, 37.3744565","126.6339706,37.3744565"
n40,223-교수연구실(정보통신-이종길),223,1.85160328,"126.6338245, 37.3743296, 126.6338402, 37.3743203","126.6338413,37.3743193"
n41,224-교수연구실(정보통신-이기영),224,1.845065201,"126.6337977, 37.3743011, 126.6338134, 37.3742921","126.6338145,37.3742916"
n43,226-교수연구실(정보통신-박정훈),226,1.807476576,"126.6337444, 37.3742443, 126.6337597, 37.3742351","126.6337609,37.3742346"
n42,225-교수연구실(정보통신-강승택),225,1.91966652,"126.6337713, 37.3742739, 126.6337875, 37.3742639","126.633787,37.3742645"
n39,222-교수연구실(정보통신-우요섭),222,1.842928739,"126.63385, 37.3743578, 126.6338657, 37.3743489","126.6338675,37.3743476"
n38,221-교수연구실(정보통신-노송),221,1.845065556,"126.6338758, 37.3743853, 126.6338915, 37.3743763","126.633893,37.3743753"
n35,n32,f2r13,2.526691374,"126.6339719, 37.3744872, 126.6339526, 37.3744671",0
n36,n35,f2r14,3.144638484,"126.6339526, 37.3744671, 126.6339288, 37.3744415",0
n37,n36,f2r15,3.662345528,"126.6339288, 37.3744415, 126.633901, 37.3744119",0
n38,n37,f2r16,3.311606396,"126.633901, 37.3744119, 126.6338758, 37.3743853",0
